LOTE ,CAPACIDADE ,MARCA,DESCRIÇÃO,VALOR,VALOR INICIAL
1,25 t/h,Sangati S.A,"Rosca molhadora de trigo , Completa com Motor ","R$20.00,00","R$ 3.000,00"
2,25 t/h,Vectra ,"Balança de fluxo de trigo, como Moegas de Alimentação e Saída","R$20.00,00","R$ 4.000,00"
3,10 t/h,Buhler  ,Polidora de trigo,"R$ 35.545,00","R$ 3.500,00"
4,10 t/h,Buhler  ,Polidora de trigo,"R$ 35.545,00","R$ 3.500,00"
5,Sem capacidade,Buhler ,Conjunto de 15 esclusas (válvulas Rotativas ) – Diversos tamanhos e diâmetros ,"R$ 75.000,00","R$ 25.000,00"
6,"8,5 t/h de trigo moído ", Bernauer,Ventilador pneumático de alta pressão Com base e motor WEG de 150 cv,"R$ 89.900,00","R$ 8.000,00"
7,/ volume: 240 m³/min,Bernauer  ,Ventilador de aspiração de baixa pressão  Com motor WEG de 20 cv,"R$ 45.538,00","R$ 8.000,00"
8,"4,2 t/h de trigo moído ",Bernauer,Ventilador pneumático de alta pressão Com motor WEG de 75 cv,"R$ 59.980,00","R$ 5.000,00"
9,100 m³/min,?,Ventilador de aspiração de baixa pressão ,"R$ 29.780,00","R$ 3.000,00"
10,10 t/h,Coppi  Altura 20 metros  ,"Elevador  de canecas  duplo Para trigo e outros cereais , Completo com Moto-Redutor  ","R$ 20.000,00","R$ 3.500,00"
11,10 t/h,Sangati ,Polidora de trigo com  Canal de aspiração completa com motor,"R$ 49.576,00","R$ 3.500,00"
12,Para um moinho de até 150 t/dia.  ,Sangati ,"Conjunto de sistema pneumático completo contendo:  Esclusas ( válvulas rotativas ), ciclonetes, visores, Moto-redutores, tubos, curvas, luvas , Ventilador Bernauer com Motor de 150 cv , Silenciador de Ruídos . ","R$ 289.315,00","R$ 30.000,00"
13,volume: 240 m³/min ,?,Ventilador de aspiração de baixa pressão ,"R$ 49.600,00","R$ 3.000,00"
14,?,Buhler,Filtro  de baixa pressão ,"R$ 39.400,00","R$ 2.000,00"
15,10 ton/h,Sangati,Turbo peneira de farinhas,"R$ 29.680,00","R$ 1.500,00"
16,?,Robuschi RBS 15 com rewervatório w sistema de segurança,Soprador  de ar ,"R$ 19.890,00","R$ 1.500,00"
17,?,?,"tripla  10 ton/h Comprimento 7,5 metros diâmetro 220 mm , Com moto-redutor ","R$ 19.450,00","R$ 2.000,00"
18,24 mangas/120/2600mm,Buhler ,Filtro  de alta pressão ,"R$ 49.740,00","R$ 3.500,00"
19,Diametro Linha 150 mm,Coppi,Filtro  de alta pressão ,"R$ 14.890,00","R$ 1.500,00"
20,?,Coppi,Válvula diversora para transporte pneumático,"R$ 12.890,00","R$ 1.500,00"
21,,Coppi,Válvula  diversora para transporte pneumático,"R$ 11.450,00","R$ 1.200,00"
22,Com Motor 28 peneiras/compartimentos,"Buhler , com motor",02 x Plansifter modelo MPAG 6/25 Sistema de Alto Rendimento,"158.000,00 / máquina R$ 300.000,00  Valor das duas maquinas","R$ 30.000,00"
23,"5,0 ton/h",Zaccaria,02 x Turbo Peneira Vertical ,"24.590,00 / máquina Valor para 02 máquinas R$ 40.000,00 ","R$ 2.500,00"
24,?,Buhler,02 x Plansifter  modelo MPAG  8/25,"Valor: R$ 198.350,00 / máquina
Valor para as duas Máquinas R$ 360.000,00","R$ 30.000,00"
25,5 ton/h,Buhler,Vibro centrifuga modelo MKVA,": R$ 34.900,00","R$ 2.500,00"
26,5 ton/h,Buhler,4 x Escovadeiras de farelo MKLA,"Valor: R$ 39.480,00 / máquina  Valor para as 04 máquinas R$ 125.000,00","R$ 15.000,00"
27,15 ton/h,Vectra,"02 x Balança de Fluxo de trigo , completa com moega de alimentação ","Valor: R$ 29.450,00  Valor para as duas balanças R$ 54.750,00","R$ 15.000,00"
28,25 ton/h,Sangati S.A,Separador de Peneiras VS-150 com Canal de Aspiração,"R$ 129.890,00","R$ 4.000,00"
29,24/120mm/2600mm,Buhler ,Filtro de baixa pressão ,"R$ 27.560,00","R$ 1.500,00"
30,10 ton/h,,Rosca  em Aço Inox  Diâmetro 300mm  Comprimento 5000mm,"R$ 14.790,00","R$ 3.500,00"
